the_geom,OBJECTID,PLACENAME,PLACETYPE,ADDRESS,CITY,ZIP,SOURCE,UNIQUEID,LATITUDE,LONGITUDE,LASTUPDATE
POINT (-121.884335581671 37.221773991768),53,Almaden Meadows Park,Park,,,,ESRI,492010POS,37.22176906,-121.88432251,09/14/2011 12:00:00 AM +0000
POINT (-121.980276896112 37.326809459008),901,New Covenant School,School,220 Blake Avenue #A,Santa Clara,95051,School Website,1322014PRIVATE,37.32680452,-121.9802638,03/11/2014 12:00:00 AM +0000
POINT (-122.11252210061 37.249601383493),691,Cal Fire Saratoga Summit Station,FireStation,12900  SKYLINE BL,Los Gatos,,County Comm,1012012FIRE,37.24959646,-122.11250899,08/09/2012 12:00:00 AM +0000
POINT (-121.97493842147 37.240466944427),1280,Los Gatos-Saratoga JUHSD Adult Education Program,School,17421 Farley Road West,Los Gatos,95030,School Website 2014/CA_DEPT_EDU,43695344334272,37.24046201,-121.97492533,09/30/2014 12:00:00 AM +0000
POINT (-121.849411005499 37.306695252629),514,Valley Health Center Tully,Clinic,500 Tully Road,San Jose,95111,Santa Clara County Valley Medical Center,592012VMC,37.30669031,-121.84939793,08/10/2012 12:00:00 AM +0000
POINT (-121.769574778231 37.227939514091),1283,Los Paseos Elementary,School,121 Avenida Grande,San Jose,95139,School Website 2014/CA_DEPT_EDU,43695836095392,37.22793457,-121.76956172,09/30/2014 12:00:00 AM +0000
POINT (-121.950583656204 37.256067940974),466,Fresenius Medical Care - Los Gatos,Clinic,"14651 S. BASCOM AVE., NO.100",LOS GATOS,95032,Office Of StateWide Health Planning And Development (OSHPD),306431890,37.25606301,-121.95057057,08/10/2012 12:00:00 AM +0000
POINT (-121.780247362564 37.314250427021),268,Tapestry Park,Park,,,,ESRI,2642010POS,37.31424548,-121.7802343,09/14/2011 12:00:00 AM +0000
POINT (-121.78726014195 37.297097070283),1238,James Franklin Smith Elementary,School,2220 Woodbury Lane,San Jose,95121,School Website 2014/CA_DEPT_EDU,43694356117956,37.29709212,-121.78724708,09/22/2014 12:00:00 AM +0000
POINT (-121.969322864978 37.390009084103),661,Santa Clara  Fire Station 8,FireStation,2400  AGNEW RD,Santa Clara,,County Comm,682012FIRE,37.39000414,-121.96930976,08/09/2012 12:00:00 AM +0000
